"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0.025,2.7,17738.7833333333,2998508665.76667,94472216.5,269660741.9,50.0666666666667,1078643910.33333,0.1,586.833333333333,9328028586292.07,5e-15,0.1
0.025,2.9,14395.1333333333,3464118286.4,109420834.866667,311622044.466667,50.2333333333333,1246493351.53333,0.3,475.6,8735616680875.63,5e-15,0.3
0.025,3.1,15669.0666666667,3901998257.5,122935367.733333,351084936.2,50.0333333333333,1404334809.53333,0.3,518.3,10764873777702.3,5e-15,0.3
0.025,3.5,15919.7666666667,4591782446.16667,144859386.033333,413295532.466667,50.1,1653195327.06667,0.266666666666667,527.066666666667,12927128697406.1,5e-15,0.266666666666667
0.025,3.9,13225.95,5128835375.5,162376460,461781263.2,50.3333333333333,1847128869.3,0.366666666666667,437.5,11989352236672.9,5e-15,0.366666666666667
0.025,4.1,13870.7166666667,5368098233.83333,169899010.166667,483382297.2,50.3,1933537298.86667,0.5,459.266666666667,13180713705581.5,5e-15,0.5
0.025,3.7,14298.2333333333,4880915515.9,154077249.266667,439394295.833333,50.1333333333333,1757570993.83333,0.366666666666667,473.266666666667,12336074039620.6,5e-15,0.366666666666667
0.025,4.3,15321.3333333333,5591473551.9,176655402.333333,503535965.666667,50.1666666666667,2014124523.13333,0.333333333333333,507.766666666667,15215794316763.8,5e-15,0.333333333333333
0.025,4.7,14061.9333333333,5954280149.86667,188690248.733333,536324855.8,50.3666666666667,2145303991.96667,0.4,465.733333333333,14868633559186.7,5e-15,0.4
0.025,4.5,16007.5166666667,5778911903.23333,182932260.9,520485641.633333,50.3,2081947908.33333,0.266666666666667,530.433333333333,16450571044143.7,5e-15,0.266666666666667
0.025,4.9,14336.7166666667,6113543634.86667,194024199.733333,550728333.966667,50.4666666666667,2202931658.4,0.366666666666667,475.066666666667,15596269692684.8,5e-15,0.366666666666667
0.025,5.1,14315.2333333333,6269241424.36667,198799114.466667,564794198.833333,50.4,2259168150.56667,0.4,474.166666666667,15973351348362.9,5e-15,0.4
0.05,1.1,1235.58333333333,0,0,0.0666666666666667,48.1,0.2,0,10.2,12270261.5666667,5e-15,0
0.05,0.9,1375.9,0,0,0.0333333333333333,41.0333333333333,-0.0333333333333333,0,12.5333333333333,9732763.5,5e-15,0
0.05,1.3,1459.25,0,0,0.166666666666667,49.7666666666667,1.36666666666667,0,11,17086884.5666667,5e-15,0
0.05,0.7,3228.9,1.96666666666667,0,0.533333333333333,20.6333333333333,2.2,0,14.7,5677195.26666667,5e-15,0
0.05,1.5,3038.93333333333,0,0,0.0666666666666667,50,0.333333333333333,0,14.2333333333333,25855487.2666667,5e-15,0
0.05,0.5,13440.8333333333,307.9,2.5,25.5666666666667,2.36666666666667,101.033333333333,0,8.26666666666667,1214934.33333333,5e-15,0
